FUN_FACTS,LOCATIONS
The SS Jeremiah O'Brien is a rare survivor of the invasion at Normandy on D-Day in WWII.,Pier 45 - Jeremiah O'Brien Liberty Ship
,Leavenworth at Green
,Leavenworth at Union
,Hyde at Union
,California at Grant
,Grant between Bush and Broadway
,California at Mason
,Spofford between Clay and Washington
,Twin Peaks Blvd.
,Waverly Pl between Washington and Sacramento
The film won Best Narrative Feature at the San Diego Asian Film Festival.,"Pay and Save Grocery, 599 Guerrero St"
,33 Dearborn St
,66 Danton St
,145 9th St
,600 Niagara Ave
,68 Dublin St
,3189 16th St
,386 4th Ave
,788 Minna St
,3139 16th St
,298 11th St
,Jones & Pacific
,Pacific & Divisadero
,Lombard & Hyde
,5546 Geary Ave
,2898 Broadway
,Motel Capri
,Marina Green
,Ocean Beach at Lincoln
,Heald College
,Marina Blvd from Laguna to Baker
,330 Santa Clara Ave.
,200 Post St.
,2179 48th Ave
,The Ramp Restaurant
,303-305 S. Van Ness
,3563 20th St.
,Taylor & Green St.
,Grant & Washington St.
,2934 24th St.
,1138 Alabama St
,South Park
,2915 16th St.
,Trolley Car from Market and 11th
,Real Guitars
,Aub Zam Zam Bar
,790 Ulloa
,SFO International Airport Terminal 3
,2178 Palou Ave.
,1122 Folsom Street
"Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.","St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
"Supposedly, Mikhail S. Gorbachev has said that his favorite part of visiting America was touring Fisherman's Wharf.",Fisherman's Wharf
"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Ferry Building
"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Coit Tower
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.,Lombard Street
"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Chinatown
"Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.",Aquatic Park (Jefferson Street)
Alcatraz Island was a military fort before it became a prison.,Alcatraz Island
,628 Cole Street
,Ina Coolbrith Park (1700 Taylor Street)
,0-100 block Halleck Street
,3050 24th Street
,3033 24th Street
,2937 24th Street
,1167 Alabama Street
,1641 York Street
,Bernal Heights Boulevard
,40 Prentiss Street
,500 Cortland Avenue
,Lucky Street
,1125 Guerrero Street
,Gough Street & Clay Street
,2007 Franklin Street
,951 Hudson Avenue
,Bayshore Blvd near Cesar Chavez (Bayview)
,Taylor & Vallejo Streets (Russian Hill)
SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)"
"McLaren Park is the 2nd largest park in San Francisco, after Golden Gate Park.",McLaren Park (Visitacion  Valley)
The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.,Mark Hopkins Hotel (999 California Street)
"Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition.",Marina Green (Marina District)
,Mansell & University Streets (Visitacion  Valley)
,Larkin & Francisco Streets (Russian Hill)
,Larkin & Chestnut Streets (Russian Hill)
Hotel was destroyed in the 1989 Loma Prieta earthquake. Corporate headquarters for the Gap reside at the location today.,Kennedy Hotel (226 Embarcadero at Howard Street)
,John Muir Drive (Lake Merced)
,Intersection of York & Peralta (Bernal Heights)
,Filbert & Taylor Streets (Russian Hill)
,Enrico's Café (504 Broadway)
,Columbus & Lombard Streets (North Beach)
,Cesar Chavez & Mission Street (Mission)
,"Candlestick Park Exit, Highway 101"
,Café Cantata (2040 Union Street)
,Brocklebank Apartments (1000 Mason Street)
"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.",Bay Bridge
,2700 Vallejo Street (Pacific Heights)
The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.,20th & Vermont Streets (Potrero Hill)
"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",1153-57 Taylor Street
"Founded in 1853, 3 years after California joined the United States, the Academy was originally named the California Academy of Natural Sciences and was the first institution of its kind in the United States.",California Academy of Sciences (Golden Gate Park)
,Green Valley Restaurant (510 Green Street Near Grant)
,1627 Haight Street
,1400 18th Street
,The Lexington Club (3464 19th Street at Lexington)
,"Royan Hotel (405 Valencia Street, Mission District)"
,"Department of Public Health (101 Grove Street at Polk, Civic Center)"
,101 Henry Adams Place
,3639 Taraval St
,1458 33rd Ave.
,Lyon at Chestnut St.
,1559 Underwood Avenue between Lane and Keith
,1465 Revere Avenue between Keith and Jennings
,1601 Lane St.
,420 Mason St.
,119 Utah
,100 Alemany Blvd.
,812 22nd St. and Tennessee
"The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.",Mission Dolores Park (Mission District) via J-Church MUNI Train
,Mason and Pacific
,John St. between Powell and Mason
,Westin St. Francis
,"Betelnut restaurant, 2030 Union St."
,"Sutter Stockton Garage, 444 Stockton"
,"YWCA, 940 Powell"
,"Warren's Antiques, 375 9th St."
,Heron and Berwick Alleys
,"Duboce St., Duboce Café"
,Potomac and Waller
,"State Garage, 818 Leavenworth"
,60 Leavenworth St.
,"Blue Danube Café, 306 Clement"
,"San Francisco Art Institute, 800 Chestnut"
,Laguna Honda Hospital
,350 Santa Ana Ave.
,878-898 Chestnut St.
A Muni station agent played himself in this scene.,Forrest Hill Muni Station
,60 Potomac
,"The Drew School, 2901 California"
,San Bruno and Alameda
,17th and Arkansas
,Bush and Sansome St.
,"Bayview Police Station, 201 Williams Ave."
,Miraloma Mall at Portola Frontage Road
,1018 Tennessee St.
,901/909Tennessee St.
,11 San Jacinto Ave.
"The Palace of Fine Arts was designed by Bernard Maybeck and was originally constructed for the 1915 Panama-Pacific Exposition.  It has been in films such as Time After Time, The Room, Twisted, So I Married An Axe Murderer and The Rock.",Palace of Fine Arts
,"Agua Vista Park at Mission Rock, 817 Terry A Francois Blvd."
,200 Kansas St.
,15th St. between Vermont and Kansas
,Private alley along 20th St. between Tennessee and Minnesota
,Maiden Lane between Kearny and Grant
,"The Drew School, 2901 California"
,"State Garage, 818 Leavenworth"
,60 Leavenworth St.
,Washington Square Park
,Grant between Union and Green
,60 Leavenworth St.
,Montgomery between Pacific and Broadway
"From the late 1980s, Treasure Island's old aircraft Hangar 2 (Building 2) and Hangar 3 (Building 3) served as sound stages for film-making and TV, including  Rent, The Pursuit of Happyness, Flubber, What Dreams May Come, Patch Adams, The Parent Trap, Bicentennial Man and the TV series Trauma.",Treasure Island
,2 Rowland
,McAllister between Leavenworth and Hyde
,"Punjab Café, 838 24th St."
,60 Potomac
,Buena Vista betweeen Upper Terrace and Java St.
,157 Commonwealth
,1461 Page St.
,1958 Valencia St.
,145 Barlett St.
,Huntington Park
"The Fairmont Hotel was featured in many films, including The Rock and the TV series Hotel",Fairmont Hotel
,1000 Mason St.
,St. Mary's Square Park
,Terry A. Francois Blvd.
,2 Rowland
,Ocean Park Motel
,"Cliffhouse, 1090 Point Lobos Ave."
The former County Jail on the 6th floor was re-created to resemble a Mexican jail for the scene,850 Bryant- 6th floor County Jail
,60 Leavenworth St.
,San Francisco General Hospital
,1901 Ocean Ave. at Ashton Ave.
,1 Urbano
,18 Urbano
,Ocean Park Motel
,"Cliffhouse, 1090 Point Lobos Ave."
,"Harvey Milk Rec Center, 50 Scott St."
,66 Potomac
,"Mario's Café, 566 Columbus"
,Washington Square Park
,"William Stout Architectural Books, 804 Montgomery St."
,1055 Montgomery St.
,60 Leavenworth St.
,Jefferson Square Park
,UN Plaza/ Civic Center Bart steps
,940 Powell St.
,Ellis and Jones St.
,"Ellis Food Center, 398 Ellis"
,"Jonell's Bar, 401 Ellis"
,"State Garage, 818 Leavenworth"
,Antonio Alley
,253 4th Ave.
,"Warren's Antiques, 375 9th St."
,Marina Blvd between Baker and Fillmore St
,Jefferson St at Taylor St
,"Taylor St, north of Jefferson St to end"
,Haight St at Ashbury St
,Central St between Haight and Page St
,Waller St between Masonic and Del Mar St
,Market St at Embarcadero
,Embarcadero between Harrison and Folsom St
,Embarcadero at Lombard St.
,Union St at Leavenworth St
,Lombard St between Leavenworth and Hyde St
,Filbert St at Stockton St
,20th St between Church and Dolores St
,Scott St between Jackson and Clay St
,Steiner St between Jackson and Clay St
,Lombard St between Hyde and Larkin St
,Columbus between Filbert and Lombard St
,Embarcadero at Vallejo St.
,Embarcadero between Bay and Chestnut St
,Heron @ Berwick (off 8th and Harrison St)
,Duboce between Buena Vista East and Alpine St
,Haight between Central and Ashbury St
,Mason between Sacramento and California St
,Sacramento between Mason and Taylor St
,California between Mason and Taylor St
,Leavenworth at McAllister St
,Embarcadero between Market to Fillmore St
,Coit Tower
,Palace of Fine Arts (3301 Lyon Street)
,Presidio Heights Neighborhood
,"Li Po (916 Grant Avenue at Washington, Chinatown)"
,Golden Dragon Restaurant (816 Washington Street at Grant)
,387 Fair Oaks at 25th Street
"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Transbay Terminal (Mission Street at 1st Street)
"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Fairmont Hotel (950 Mason Street, Nob Hill)"
,22nd and Carolina Streets (Potrero Hill)
,San Francisco Public Library Main Branch (100 Larkin Street)
"Mission Dolores' official name is Mission San Francisco de Assis. It is the oldest building in San Francisco, built in 1791, and has survived two major earthquakes.","Mission Dolores (3321 16th Street, Mission District)"
"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",City Hall
,Bix Restaurant (56 Gold Street)
,Pier 7
,Jackson between Front and Davis
"From 1910-1920 the Castro was called ""Little Scandinavia"" because of its high concentration of residents of Scandinavian ancestry.",The Castro
,
"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Treasure Island
"The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area “Los Pechos de la Chola” or ""Breasts of the Indian Maiden,"" but in the 19th Century when America took over the area, it was renamed ""Twin Peaks"".",Twin Peaks
,Sound Factory (1st and Harrison Streets)
,"Java House (Pier 40, Embarcadero)"
The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910.,Alta Plaza Park
,82 & 67 Rico Way (Marina District)
,24th Street between Mission Street and Potrero Avenue
,La Rondalla (Valencia and 20th Streets)
,Palace of Fine Arts
"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Golden Gate Bridge
,The Malloch Apartment Building (1360 Montgomery Street)
,"Filbert Steps, Filbert Street"
,University Club
,Filbert St. from Hyde to Leavenworth
,California St from Mason to Kearny
,City Hall
,Alioto Park
,California & Powell
,Columbus & Pacific Ave
,
,
,20th at Noe St
,Dolores Park - Dolores at 20th St
,Castro at 18th St
,Corona Heights - 16th at Flint St
,Chinatown - Grant btwn California and Jackson St
,North Beach - Romolo at Fresno and Vallejo at Kearny
,Leavenworth at Filbert St
,"Haight Ashbury - Central at Page, Haight at Masonic, Haight at Clayton"
,Alamo Square Park
,Duboce Park
,Tank Hill Park
,Bernal Heights Park
,Balmy Alley
,Harrison at 25th St
,Clarion Alley
,Sycamore Alley
,Judah at 9th Ave
,Judah at 20th Ave
,Stevenson Alley btwn 6th and 7th St
,18th btwn Connecticut and Arkansas St
,Broadway at Columbus
,Brannan btwn 3rd and 6th St
,25th btwn Pennsylvania and Indiana
,Filbert btwn Powell and Stockton
,Mission at 20th St
,Alameda at San Bruno Ave
,Main St at Harrison
,Pier 7
,Embarcadero at Harrison St
,Broadway btwn Polk and Kearny
,Coit Tower
,21st St at San Carlos
SFO has a museum dedicated to aviation history.,San Francisco International Airport
,"Li Po (916 Grant Avenue at Washington, Chinatown)"
"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Chinatown
"Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition.","Marina Green, Marina District"
,"Washington Square, North Beach"
,The Embarcadero
"Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.","St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
,San Francisco Drydock (20th and Illinois Streets)
In 1847 the first public school in California was erected on what would become Portsmouth Square.,Portsmouth Square (Chinatown)
"The cross sits at the highest point in San Francisco (938 feet). This version of the cross was erected in 1934.Though in Dirty Harry the cross is lit at night, the City stopped this practice in 1990.","Mt. Davidson Cross, Mt. Davidson"
"The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.",Mission Dolores Park (Mission District)
The stadium was demolished and completely rebuilt after sustaining damages in the 1898 Loma Prieta earthquake.,"Kezar Stadium, Golden Gate Park"
,Holiday Inn Select Downtown Hotel (750 Kearney Street)
,Hall of Justice (850 Bryant Street)
,Forest Hill Station- MUNI
,Dante Building (1606 Stockton Street at Union)
,"California Hall (625 Polk Street, Van Ness/Civic Center)"
"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Bank of America Building (555 California Street)
,Powell & California Streets
,Southern Pacific Memorial Hospital (1400 Fell Street)
"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",The Embarcadero/ Ferry Building
"During the Civil War, pro-Union rallies were held in the Square, and thus the area was called ""Union Square"".",Union Square
"The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.",Westin St. Francis Hotel (335 Powell Street)
,Chambord Apartments (1298 Sacramento Street at Jones)
The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.,Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle)
,Market & Steuart Streets (Financial District)
,Market Street (from 6th- 4th Streets)
,Webster Street
,Telegraph Hill Blvd (Telegraph Hill)
,Larkin & Hyde Streets
"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Gabbiano's Restaurant (Ferry Building)
"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Coit Tower
,2107 Union Street
,2100 Green Street
,"South Park (Between 2nd and 3rd Streets, Brannan and Bryant Streets)"
"Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.","Fort Point (Presidio, Golden Gate National Recreation Area)"
,
This movie was the first to film in the revamped Chrissy Field Picnic Area.,"West Chrissy Field (Presidio, Golden Gate National Recreation Area)"
,"Sacramento St., Between Pierce & Broderick Streets"
,Hyde Street & Lombard Street
"In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.","Building 924, Presidio (Golden Gate National Recreation Area)"
,"Broadway, Between Franklin & Laguna Streets"
"From 1986-1990, the north end of Baker Beach was home to the Burning Man festival.",Baker Beach
"This location is called the ""Café Blue Eyes"" in the film.",Elbo Room (647 Valencia Street)
,Pier 39
"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.",Bay Bridge
,
"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Palace of Fine Arts (3301 Lyon Street)
,Moose's Restaurant (1652 Stockton)
,Mario's Bohemian Cigar Store (Washington Square)
,"Center for the Arts, Yerba Buena Gardens (701 Mission Street)"
"The original Castro Theatre was built in 1910, a few doors down from the current theatre. The original theatre was converted into retail space, and the current theatre was built in the 1920s.","Castro Theatre (429 Castro Street, The Castro)"
,20th & Connecticut Streets (Potrero Hill)
,19 Green Street (North Beach)
,1138 Filbert Street
The video store has since moved to an adjacent location.,North Beach Video (1398 Grant Avenue at Green)
Alcatraz Island was a military fort before it became a prison.,Alcatraz Island
,Treasure Island
,"Andronico's, 1200 Irving Street"
,"Mudpie, 2185 Fillmore Street"
,Hooker Alley Garden on Mason between Bush & Pine
,Broadway @ Jones Streets
,"Outpost Studios, 69 Green Street"
"California Palace of the Legion of Honor was completed in 1924, and on Armistice Day of that year the doors opened to the public. In keeping with the wishes of the donors, to “honor the dead while serving the living,” it was accepted by the city of San Francisco as a museum of fine arts dedicated to the memory of the 3,600 California ","Legion of Honor, 100 34th Ave"
,UCSF Mt Zion 1600 Divisadero
,343 Union Street
,Pier 39 San Francisco
